dataset,metric,mean_difference,median_difference,positive_seed_count,negative_seed_count,n_seeds,statistical_unit,coordinate_distributions_descriptive_only,posthoc_label_metrics_not_fit_inputs
Baron Human,class_support_enrichment_posthoc,-0.014922963531086306,-0.023354783777746135,1,2,3,dataset x seed,True,True
Baron Human,donor_change_magnitude,0.5428157269016318,0.9111946090967629,2,1,3,dataset x seed,True,True
Baron Human,fisher_separation_posthoc,-0.013943939469660225,-0.020619980656810158,1,2,3,dataset x seed,True,True
Baron Human,model_support_frequency,0.0,0.0,0,0,3,dataset x seed,True,True
Baron Human,model_variance,1.3633612757265231e-11,1.3934298159767877e-11,2,1,3,dataset x seed,True,True
Baron Human,model_zero_fraction,0.0,0.0,0,0,3,dataset x seed,True,True
Baron Human,raw_support_frequency,-0.05000406911098457,-0.07813834587792431,1,2,3,dataset x seed,True,True
Baron Human,support_mutual_information_posthoc,-0.0023514929490383203,-0.003494204206590707,1,2,3,dataset x seed,True,True
Baron Human,topology_deviation,0.8554602251231336,1.3220299191306668,2,1,3,dataset x seed,True,True
Baron Human,topology_dispersion,0.05032640397805724,0.09097634896103811,2,1,3,dataset x seed,True,True
Campbell,class_support_enrichment_posthoc,-0.022200515512358753,-0.02021540269531577,0,3,3,dataset x seed,True,True
Campbell,donor_change_magnitude,0.6789878605812764,0.687055839468222,3,0,3,dataset x seed,True,True
Campbell,fisher_separation_posthoc,-0.019470670273456878,-0.014231959709684008,0,3,3,dataset x seed,True,True
Campbell,model_support_frequency,0.0,0.0,0,0,3,dataset x seed,True,True
Campbell,model_variance,1.4604199331339865e-10,1.2562573203922511e-10,3,0,3,dataset x seed,True,True
Campbell,model_zero_fraction,0.0,0.0,0,0,3,dataset x seed,True,True
Campbell,raw_support_frequency,-0.06718545724097146,-0.05915073520410019,0,3,3,dataset x seed,True,True
Campbell,support_mutual_information_posthoc,-0.004356286554102571,-0.003210547424404124,0,3,3,dataset x seed,True,True
Campbell,topology_deviation,1.1841423531372461,1.0858132214058467,3,0,3,dataset x seed,True,True
Campbell,topology_dispersion,0.2725783181854522,0.17913347345718592,3,0,3,dataset x seed,True,True
hate_speech,class_support_enrichment_posthoc,-0.0211008368369478,-0.022404222322921698,0,3,3,dataset x seed,True,True
hate_speech,donor_change_magnitude,0.972392913916336,1.0634990736198802,3,0,3,dataset x seed,True,True
hate_speech,fisher_separation_posthoc,-0.0044101598968926525,-0.004738163963301139,0,3,3,dataset x seed,True,True
hate_speech,model_support_frequency,0.0,0.0,0,0,3,dataset x seed,True,True
hate_speech,model_variance,-4.104334871968263e-09,-4.330978686795106e-09,0,3,3,dataset x seed,True,True
hate_speech,model_zero_fraction,0.0,0.0,0,0,3,dataset x seed,True,True
hate_speech,raw_support_frequency,-0.032660839638665784,-0.034299200399703564,0,3,3,dataset x seed,True,True
hate_speech,support_mutual_information_posthoc,-0.004483109267313102,-0.00475235077098583,0,3,3,dataset x seed,True,True
hate_speech,topology_deviation,2.1232758763816393,2.087742678698275,3,0,3,dataset x seed,True,True
hate_speech,topology_dispersion,1.592057692989809,1.6917555772264552,3,0,3,dataset x seed,True,True
