version,primary_stage,secondary_stage,classification_status,evidence_scope,causal_status,confidence,failure_pattern,existing_evidence,v25_established,remaining_unknown,alternative_explanation,evidence_source,do_new_experiment,suggested_next_v,priority
V1,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V2,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V3,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V4,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V5,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V6,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V7,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V8,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V9,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=9, negative=9, observed-small=48, rows=66",A0 rows=291; A1 paired atlas rows=66; dominant structural source=neighbor/topology graph; dominant intervention=sample/neighbor relation,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V10,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=0, negative=2, observed-small=7, rows=9",A0 rows=21; A1 paired atlas rows=9; dominant structural source=reliable graph; dominant intervention=sample/neighbor relation,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
