gap_id,Gap,mechanism_stage,evidence_scope,causal_status,confidence,Existing evidence,What V25 established,What remains unknown,Why it matters,Do we need new experiment?,Suggested next V,Priority,closure_status,alternative_explanation
G01,Structural opportunity versus intervention utility,Opportunity -> Intervention,A0/A1 V1-V22 retrospective atlas,observational,moderate,"A0 has 1637 paired rows across 431 units; A1 has 194 material positive, 680 material negative, and 763 observed-small rows.",Structural quality/opportunity descriptors do not reliably imply a positive downstream intervention gain in the audited historical records.,"Whether the heterogeneity is caused by structure quality, protocol compatibility, intervention policy, or readout differences.","This is the retrospective paper-level problem statement, but it cannot by itself support a pooled causal mechanism.",No for the retrospective claim; only a separately authorized replication can test causality.,Gated external replication only,P0,partially_resolved,"protocol, preprocessing, baseline, budget, optimizer, and readout confounding"
G02,Topology-dependent selection increment,Selection,E1 audited V21 pilot plus confirmation; six datasets x three seeds,matched prospective case study,moderate,The N/R/T protocol passed 18/18 panel audits. S_d is positive for Baron Human (+0.044617) and negative for Campbell (-0.065332) and hate_speech (-0.033410); pilot effects are also heterogeneous.,"Topology-dependent selection has conditional, sign-heterogeneous incremental utility in this audited V21 case study, not universal superiority.",Whether the sign pattern survives independent datasets under the frozen endpoint; the holdout produced no evaluable panel.,It separates topology policy value from generic intervention value through S_d = Q(T)-Q(R).,Only a separately authorized frozen replication; V25 itself is closed.,Gated external replication of the frozen S_full_ARI endpoint,P0,partially_resolved,"generic intervention, optimizer/head state, dataset compatibility, or readout may contribute to sign heterogeneity"
G03,Generic intervention effect versus topology selection,Intervention,E1 N/R/T decomposition,matched prospective case study,moderate,I_d ranges from -0.011463 to +0.132841 across the six audited datasets; Campbell and SMS show positive material I_d while other datasets are small/inconclusive.,Generic intervention and topology selection are empirically separable quantities: Q(T)-Q(N) = I_d + S_d.,Which training or dose components explain I_d sign and whether I_d generalizes beyond V21.,"Without this decomposition, historical TopoGate gains cannot be attributed to topology-aware selection.",No additional V25 experiment; future work would need a predeclared control claim.,None under V25; reuse I_d only in a separately frozen replication,P1,partially_resolved,"InfoMax, optimizer state, budget, and readout can alter I_d independently of topology"
G04,Feature semantics of selected coordinates,Selection -> Representation,E2-A confirmation diagnostics only; 30 metric-summary rows / 90 dataset-seed metric rows,observational,low,"E2-A covers 3 confirmation datasets, 9 dataset-seed panels, 30 metric-summary rows, and 27 gradient rows; coordinate distributions are descriptive and post-hoc label metrics are not fit inputs.",Selection semantics can be summarized at dataset x seed level without treating millions of coordinates as independent observations.,Whether selected coordinates are nuisance-sensitive or cluster-defining in a way that explains full-training sign.,This is the most direct candidate explanation for positive versus harmful topology interventions.,"No new model under V25; a future claim would require a frozen, label-free diagnostic and replication.",Gated diagnostic replication only,P1,partially_resolved,selection scores may correlate with generic magnitude or sparse support rather than semantic utility
G05,Objective compatibility and gradient conflict,Intervention -> Representation,E2-B/C confirmation diagnostics,diagnostic only,low,Gradient geometry and actual Adam N/R/T one-step artifacts are available for the confirmation panels (27 gradient rows).,The protocol can measure objective geometry and actual optimizer counterfactuals at the shared branchpoint.,Whether objective compatibility predicts the full-training sign of S_d or I_d.,A plausible gradient conflict is not a mechanism until it predicts the observed sign under the real Adam state.,No under V25 closure; do not promote diagnostics into a causal law.,None; only a predeclared objective-compatibility replication could reopen this gap,P2,unresolved,"one-step geometry may not capture multi-epoch schedule, optimizer, or representation effects"
G06,Representation change and local geometry conversion,Representation,A1 replay gate plus isolated V23 boundary rows,observational boundary evidence,low,A1 has 0 artifact-complete replay candidates; V23 retains six local/global boundary comparisons outside the atlas.,No artifact-complete V1-V22 replay was available; a local metric increase can coexist with a non-positive global metric in a bounded V23 example.,Whether the same disconnect recurs under label-free geometry and matched structural interventions.,Local improvement is not sufficient evidence of global cluster recovery.,No V25 replay is possible without artifacts; future replication must freeze both local and global endpoints.,Gated local-to-global replication only,P1,partially_resolved,post-hoc metric choice and readout mismatch may create the apparent disconnect
G07,Readout conversion and clean clustering endpoint,Readout,E1 primary clean-embedding known-K KMeans; Student-t secondary,matched prospective case study,moderate,E1 fixes clean embedding + known-K KMeans as the primary readout and keeps Student-t head metrics secondary.,"Readout semantics are explicit and shared across N/R/T, preventing the head from silently replacing the primary endpoint.",How much historical sign heterogeneity is attributable to readout mismatch rather than intervention or representation.,A changing readout can make an apparent structural gain or failure non-comparable.,No under V25 closure; do not add readout sweeps after seeing endpoints.,None; preserve the frozen readout contract,P2,unresolved,readout may discard local geometry or react differently to latent scale
G08,Independent external validation,All stages,Phase D frozen claim-dependent holdout,inconclusive_not_completed,high,The frozen holdout expected 6 panels and completed 0; status=inconclusive_not_completed.,No independent replication result was produced; this is not a negative performance result.,Whether the conditional V21 selection claim transfers to new domains under the frozen adapter and endpoint.,"The six audited E1 datasets are an internal case study, not a population validation set.",Only if a separate project authorizes the frozen adapter/resource contract; V25 does not reopen it.,"Gated external replication, not an automatic V26",P0,inconclusive_not_completed,resource boundary prevented evaluation; no model conclusion follows
G09,Label-free do-no-harm diagnostic,Opportunity -> Selection,A2 triage and E1/E2 diagnostics,unidentified,low,A2 retained E1 but did not identify a validated label-free certificate; E2 diagnostics remain explanatory rather than predictive.,No current diagnostic is authorized to decide automatically whether structural intervention should abstain.,Whether any label-free quantity predicts harm robustly across domains and protocols.,A do-no-harm certificate would be more actionable than another unconstrained Gate architecture.,No under V25 closure; a future attempt must be separately identifiable and pre-registered.,Only if a label-free diagnostic becomes identifiable before any new training,P2,unresolved,available diagnostics may be post-treatment or label-dependent
G10,Universal response surrogate and rescue architectures,Opportunity -> Readout,V23/V24 boundary evidence and V25 closure governance,boundary evidence,high,V23 dependency-specific Cycle explanation is No-Go; V24 calibration is No-Go; V25 closure forbids new Gate/loss/selector/DCBoost/V18/V22/V24 rescue routes.,Continuing to search for a universal utility surrogate or rescue module is not justified by the current evidence.,"A different future project could formulate a new, independently identifiable question, but it is outside V25.",This closes the open-ended V9-V24 iteration loop and protects the paper claim boundary.,No; permanently closed within V25.,None; any future work requires a new project and preregistered question,P0,closed_no_go,"No-Go applies to the frozen estimator/mechanism, not every possible structural signal"
